Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Quantity,Unit Price,Extended Price,Description
CL21B104MBCNNNC,Samsung Electro-Mechanics,1276-2450-1-ND,Choose C1 or C2,C1,1,0.1,$0.10,CAP CER 0.1UF 50V X7R 0805
CRG0805F2K7,TE Connectivity Passive Product,A126359CT-ND,Choose R1 or R2,R1,1,0.1,$0.10,RES SMD 2.7K OHM 1% 1/8W 0805
TS-108-T-A,Samtec Inc.,SAM1112-08-ND,,"J1, J2",2,1.05,$2.10,CONN HEADER VERT 8POS 2.54MM
